Timestamp(ms),Theta,Beta,FocusRatio
1780913580808,0,0,0
1780913580820,0,0,0
1780913580836,0,0,0
1780913580852,0,0,0
1780913580868,0,0,0
1780913580883,0,0,0
1780913580898,0,0,0
1780913580914,0,0,0
1780913580929,0,0,0
1780913580944,0,0,0
1780913580960,0,0,0
1780913580976,0,0,0
1780913580992,0,0,0
1780913581008,0,0,0
1780913581024,0,0,0
1780913581040,0,0,0
1780913581056,0,0,0
1780913581072,0,0,0
1780913581088,0,0,0
1780913581104,0,0,0
1780913581120,0,0,0
1780913581136,0,0,0
1780913581152,0,0,0
1780913581168,0,0,0
1780913581184,0,0,0
1780913581200,0,0,0
1780913581216,0,0,0
1780913581232,0,0,0
1780913581248,0,0,0
1780913581264,0,0,0
1780913581280,0,0,0
1780913581295,0,0,0
1780913581311,0,0,0
1780913581327,0,0,0
1780913581343,0,0,0
1780913581358,0,0,0
1780913581373,0,0,0
1780913581389,0,0,0
1780913581405,0,0,0
1780913581421,0,0,0
1780913581437,0,0,0
1780913581453,0,0,0
1780913581469,0,0,0
1780913581485,0,0,0
1780913581501,0,0,0
1780913581516,0,0,0
1780913581532,0,0,0
1780913581548,0,0,0
1780913581564,0,0,0
1780913581580,0,0,0
1780913581595,0,0,0
1780913581611,0,0,0
1780913581627,0,0,0
1780913581643,0,0,0
1780913581659,0,0,0
1780913581675,0,0,0
1780913581691,0,0,0
1780913581707,0,0,0
1780913581723,0,0,0
1780913581739,0,0,0
1780913581755,0,0,0
1780913581771,0,0,0
1780913581787,0,0,0
1780913581802,0,0,0
1780913581818,0,0,0
1780913581834,0,0,0
1780913581850,0,0,0
1780913581866,0,0,0
1780913581882,0,0,0
1780913581898,0,0,0
1780913581914,0,0,0
1780913581929,0,0,0
1780913581944,0,0,0
1780913581960,0,0,0
1780913581975,0,0,0
1780913581990,0,0,0
1780913582006,0,0,0
1780913582022,0,0,0
1780913582038,0,0,0
1780913582054,0,0,0
1780913582070,0,0,0
1780913582086,0,0,0
1780913582101,0,0,0
1780913582116,0,0,0
1780913582131,0,0,0
1780913582146,0,0,0
1780913582161,0,0,0
1780913582177,0,0,0
1780913582193,0,0,0
1780913582209,0,0,0
1780913582225,0,0,0
1780913582241,0,0,0
1780913582257,0,0,0
1780913582273,0,0,0
1780913582288,0,0,0
1780913582304,0,0,0
1780913582320,0.355323,0.17011,0.478748
1780913582336,0.354698,0.171644,0.483916
1780913582351,0.355158,0.171868,0.48392
1780913582366,0.379435,0.140826,0.371148
1780913582381,0.379285,0.140792,0.371205
1780913582397,0.379156,0.140754,0.371231
1780913582413,0.376781,0.139926,0.371373
1780913582429,0.375355,0.138616,0.369294
1780913582445,0.375342,0.139386,0.371357
1780913582461,0.374979,0.138852,0.370293
1780913582477,0.374732,0.13875,0.370263
1780913582493,0.374815,0.139172,0.371308
1780913582509,0.374867,0.139182,0.371284
1780913582525,0.374925,0.138805,0.370221
1780913582541,0.375222,0.138911,0.37021
1780913582556,0.375389,0.138972,0.370209
1780913582572,0.375686,0.13948,0.371266
1780913582588,0.375614,0.139063,0.370228
1780913582604,0.375507,0.13903,0.370246
1780913582620,0.362583,0.121625,0.335441
1780913582636,0.362619,0.121778,0.335829
