Timestamp(ms),Theta,Beta,FocusRatio
1780912571589,0,0,0
1780912571601,0,0,0
1780912571617,0,0,0
1780912571633,0,0,0
1780912571648,0,0,0
1780912571664,0,0,0
1780912571680,0,0,0
1780912571696,0,0,0
1780912571712,0,0,0
1780912571728,0,0,0
1780912571744,0,0,0
1780912571760,0,0,0
1780912571776,0,0,0
1780912571792,0,0,0
1780912571807,0,0,0
1780912571822,0,0,0
1780912571838,0,0,0
1780912571854,0,0,0
1780912571869,0,0,0
1780912571884,0,0,0
1780912571900,0,0,0
1780912571915,0,0,0
1780912571930,0,0,0
1780912571946,0,0,0
1780912571962,0,0,0
1780912571977,0,0,0
1780912571993,0,0,0
1780912572009,0,0,0
1780912572024,0,0,0
1780912572039,0,0,0
1780912572055,0,0,0
1780912572071,0,0,0
1780912572087,0,0,0
1780912572102,0,0,0
1780912572117,0,0,0
1780912572133,0,0,0
1780912572149,0,0,0
1780912572165,0,0,0
1780912572180,0,0,0
1780912572195,0,0,0
1780912572211,0,0,0
1780912572226,0,0,0
1780912572241,0,0,0
1780912572257,0,0,0
1780912572273,0,0,0
1780912572289,0,0,0
1780912572305,0,0,0
1780912572321,0,0,0
1780912572337,0,0,0
1780912572353,0,0,0
1780912572369,0,0,0
1780912572385,0,0,0
1780912572401,0,0,0
1780912572417,0,0,0
1780912572433,0,0,0
1780912572449,0,0,0
1780912572465,0,0,0
1780912572481,0,0,0
1780912572497,0,0,0
1780912572513,0,0,0
1780912572529,0,0,0
1780912572545,0,0,0
1780912572561,0,0,0
1780912572577,0,0,0
1780912572593,0,0,0
1780912572609,0,0,0
1780912572624,0,0,0
1780912572639,0,0,0
1780912572655,0,0,0
1780912572671,0,0,0
1780912572687,0,0,0
1780912572703,0,0,0
1780912572719,0,0,0
1780912572735,0,0,0
1780912572751,0,0,0
1780912572767,0,0,0
1780912572783,0,0,0
1780912572799,0,0,0
1780912572815,0,0,0
1780912572831,0,0,0
1780912572847,0,0,0
1780912572863,0,0,0
1780912572879,0,0,0
1780912572895,0,0,0
1780912572911,0,0,0
1780912572926,0,0,0
1780912572941,0,0,0
1780912572957,0,0,0
1780912572973,0,0,0
1780912572989,0,0,0
1780912573005,0,0,0
1780912573020,0,0,0
1780912573035,0,0,0
1780912573051,0,0,0
1780912573067,0,0,0
1780912573083,0,0,0
1780912573099,0.34172,0.197338,0.577483
1780912573115,0.342518,0.197835,0.57759
1780912573131,0.338309,0.198807,0.587651
