Timestamp(ms),Theta,Beta,FocusRatio
1780912993328,0,0,0
1780912993343,0,0,0
1780912993359,0,0,0
1780912993375,0,0,0
1780912993391,0,0,0
1780912993407,0,0,0
1780912993423,0,0,0
1780912993439,0,0,0
1780912993455,0,0,0
1780912993472,0,0,0
1780912993486,0,0,0
1780912993502,0,0,0
1780912993518,0,0,0
1780912993534,0,0,0
1780912993550,0,0,0
1780912993564,0,0,0
1780912993581,0,0,0
1780912993596,0,0,0
1780912993612,0,0,0
1780912993628,0,0,0
1780912993644,0,0,0
1780912993660,0,0,0
1780912993675,0,0,0
1780912993691,0,0,0
1780912993707,0,0,0
1780912993723,0,0,0
1780912993739,0,0,0
1780912993754,0,0,0
1780912993769,0,0,0
1780912993785,0,0,0
1780912993802,0,0,0
1780912993817,0,0,0
1780912993833,0,0,0
1780912993850,0,0,0
1780912993865,0,0,0
1780912993881,0,0,0
1780912993897,0,0,0
1780912993913,0,0,0
1780912993928,0,0,0
1780912993944,0,0,0
1780912993960,0,0,0
1780912993976,0,0,0
1780912993992,0,0,0
1780912994008,0,0,0
1780912994024,0,0,0
1780912994040,0,0,0
1780912994056,0,0,0
1780912994072,0,0,0
1780912994087,0,0,0
1780912994103,0,0,0
1780912994118,0,0,0
1780912994133,0,0,0
1780912994148,0,0,0
1780912994163,0,0,0
1780912994179,0,0,0
1780912994195,0,0,0
1780912994211,0,0,0
1780912994227,0,0,0
1780912994243,0,0,0
1780912994259,0,0,0
1780912994275,0,0,0
1780912994292,0,0,0
1780912994307,0,0,0
1780912994322,0,0,0
1780912994338,0,0,0
1780912994354,0,0,0
1780912994370,0,0,0
1780912994386,0,0,0
1780912994402,0,0,0
1780912994418,0,0,0
1780912994434,0,0,0
1780912994450,0,0,0
1780912994466,0,0,0
1780912994482,0,0,0
1780912994498,0,0,0
1780912994514,0,0,0
1780912994530,0,0,0
1780912994546,0,0,0
1780912994562,0,0,0
1780912994578,0,0,0
1780912994594,0,0,0
1780912994610,0,0,0
1780912994626,0,0,0
1780912994643,0,0,0
1780912994658,0,0,0
1780912994674,0,0,0
1780912994690,0,0,0
1780912994706,0,0,0
1780912994722,0,0,0
1780912994738,0,0,0
1780912994754,0,0,0
1780912994770,0,0,0
1780912994787,0.36313,0.16755,0.461407
1780912994803,0.35876,0.170274,0.474617
1780912994818,0.362306,0.170288,0.470012
1780912994833,0.381503,0.13916,0.364768
1780912994849,0.381489,0.139541,0.365781
1780912994865,0.380212,0.138733,0.364883
1780912994880,0.379304,0.138795,0.365919
1780912994896,0.378783,0.138606,0.365926
1780912994912,0.378125,0.137983,0.364915
1780912994928,0.377573,0.138157,0.365909
1780912994944,0.37715,0.137615,0.364882
1780912994960,0.37689,0.137509,0.364852
1780912994976,0.377014,0.137932,0.365854
1780912994992,0.376894,0.137501,0.364827
1780912995008,0.377207,0.137991,0.365824
1780912995024,0.377445,0.137694,0.364805
1780912995039,0.377789,0.138204,0.365823
1780912995054,0.377586,0.137376,0.363827
1780912995070,0.377951,0.13827,0.36584
1780912995086,0.364191,0.120182,0.329997
1780912995102,0.364567,0.120579,0.330747
1780912995118,0.364511,0.12056,0.330745
1780912995134,0.364016,0.120256,0.330358
1780912995150,0.36396,0.120237,0.330358
1780912995166,0.363902,0.120218,0.330359
1780912995182,0.363897,0.120217,0.33036
1780912995198,0.364185,0.120452,0.330744
1780912995214,0.36423,0.120468,0.330747
1780912995229,0.364256,0.120477,0.330748
1780912995244,0.36403,0.120264,0.330367
1780912995260,0.364063,0.120275,0.330368
1780912995276,0.364328,0.120501,0.33075
1780912995292,0.363808,0.120056,0.329997
